Question Number,Question,Answer1,Answer2,Answer3,Answer4,Category,Difficulty
255,What is cloud cost management?,Cloud cost management optimizing controlling cloud spending,Cost management involves monitoring analyzing cloud costs,Strategies include right-sizing reservations spot instances,Cloud cost optimization reduces waste improves efficiency,Cloud Computing (AWS/Azure/GCP),Intermediate
256,What is cloud governance?,Cloud governance framework managing cloud resources policies,Governance ensures compliance security cost control,Cloud governance includes policies standards procedures,Effective governance maintains control cloud environments,Cloud Computing (AWS/Azure/GCP),Advanced
257,What is cloud migration strategy?,Cloud migration strategy planning moving workloads cloud,Migration strategies include rehost replatform refactor,Cloud migration involves assessment planning execution,Migration strategy ensures successful cloud transition,Cloud Computing (AWS/Azure/GCP),Intermediate
258,What is cloud-native architecture?,Cloud-native architecture designing applications cloud environments,Cloud-native uses microservices containers serverless,Cloud-native applications scalable resilient manageable,Cloud-native leverages cloud capabilities fully,Cloud Computing (AWS/Azure/GCP),Advanced
259,What is serverless architecture?,Serverless architecture building applications without managing servers,Serverless uses functions as service event-driven computing,Serverless automatically scales charges execution time,Serverless ideal episodic unpredictable workloads,Cloud Computing (AWS/Azure/GCP),Intermediate
260,What is cloud security posture management?,Cloud security posture management maintaining cloud security,CSPM continuously monitors cloud security compliance,CSPM identifies misconfigurations compliance violations,Cloud security posture ensures ongoing protection,Cloud Computing (AWS/Azure/GCP),Advanced
261,What is security information event management SIEM?,SIEM provides real-time analysis security alerts,SIEM collects correlates security events logs,SIEM enables threat detection incident response,Security information management crucial security operations,Cybersecurity,Intermediate
262,What is security orchestration automation response SOAR?,SOAR automates security operations workflows,SOAR integrates security tools automating responses,Security orchestration improves efficiency consistency,SOAR reduces response time security incidents,Cybersecurity,Advanced
263,What is threat hunting?,Threat hunting proactively searching threats networks,Threat hunting identifies hidden advanced threats,Hunting involves hypothesis-driven investigation,Threat hunting complements automated detection,Cybersecurity,Advanced
264,What is digital forensics?,Digital forensics investigating digital devices evidence,Forensics involves preserving analyzing digital evidence,Digital forensics used incident response legal proceedings,Forensics follows strict chain custody procedures,Cybersecurity,Advanced
265,What is security baseline?,Security baseline minimum security standards configuration,Baselines define secure configuration systems,Security baselines reduce attack surface,Baseline compliance ensures consistent security posture,Cybersecurity,Intermediate
